番号,日付,商品タイプ,運用商品名,時価単価(1万口当り),残高数量,資産残高,購入金額,損益,損益率
1,2026/6/2,国内株式,eMAXIS Slim 国内株式(TOPIX),"31,351","41,773","130,962","128,324","2,638",2.10%
2,2026/6/2,内外株式,SBI・全世界株式インデックス・ファンド,"35,300","195,420","689,832","639,296","50,536",7.90%
3,2026/6/2,海外株式,eMAXIS Slim 全世界株式(除く日本),"38,275","104,130","398,557","385,705","12,852",3.30%
4,2026/6/2,海外株式,eMAXIS Slim 先進国株式インデックス,"44,995","8,789","39,546","38,644",902,2.30%
5,2026/6/2,海外株式,eMAXIS Slim 米国株式(S&P500),"44,378","12,827","56,923","55,330","1,593",2.90%
6,2026/6/2,海外株式,eMAXIS Slim 新興国株式インデックス,"28,062","14,501","40,692","38,644","2,048",5.30%
7,2026/6/2,国内債券,eMAXIS Slim 国内債券インデックス,"8,521","105,743","90,103","89,678",425,0.50%
8,2026/6/2,海外債券,eMAXIS Slim 先進国債券インデックス,"15,655","81,733","127,953","126,175","1,778",1.40%
9,2026/6/2,海外債券,iFree 新興国債券インデックス,"18,951","19,345","36,660","36,138",522,1.40%
10,2026/6/2,国内不動産投信,ニッセイJリートインデックスファンド(購入・換金手数料なし),"21,288","24,368","51,874","53,181","-1,307",-2.50%
11,2026/6/2,海外不動産投信,三井住友・DC外国リートインデックスファンド,"23,712","22,596","53,579","53,181",398,0.70%
12,2026/6/2,内外資産複合,eMAXIS Slim バランス(8資産均等型),"21,334","181,645","387,521","371,859","15,662",4.20%
13,2026/6/2,内外資産複合,iFree 年金バランス,"19,571","124,896","244,433","239,715","4,718",2.00%
14,2026/6/2,国内その他資産,三菱UFJ純金ファンド(愛称:ファインゴールド),"54,150","183,256","992,331","626,252","366,079",58.50%
15,2026/6/2,内外資産複合,セレブライフ・ストーリー2045,"24,059","41,723","100,381","100,104",277,0.30%
