"分析軸名","カテゴリ名","メンバー名"
"すべて","すべて","all"
"地域分類","国内","国内株式"
"地域分類","国内","国内債券"
"地域分類","国内","国内不動産投信"
"地域分類","国内","国内その他資産"
"地域分類","海外","内外株式"
"地域分類","海外","海外株式"
"地域分類","海外","海外債券"
"地域分類","海外","海外不動産投信"
"地域分類","海外","内外資産複合"
"資産分類","株式","国内株式"
"資産分類","株式","内外株式"
"資産分類","株式","海外株式"
"資産分類","債券","国内債券"
"資産分類","債券","海外債券"
"資産分類","不動産","国内不動産投信"
"資産分類","不動産","海外不動産投信"
"資産分類","複合","内外資産複合"
"資産分類","その他","国内その他資産"
"商品グループ","主要資産","国内株式"
"商品グループ","主要資産","内外株式"
"商品グループ","主要資産","海外株式"
"商品グループ","主要資産","国内債券"
"商品グループ","主要資産","海外債券"
"商品グループ","主要資産","国内不動産投信"
"商品グループ","主要資産","海外不動産投信"
"商品グループ","その他","内外資産複合"
"商品グループ","その他","国内その他資産"
"主要資産","国内株式","国内株式"
"主要資産","内外株式","内外株式"
"主要資産","海外株式","海外株式"
"主要資産","国内債券","国内債券"
"主要資産","海外債券","海外債券"
"主要資産","国内不動産投信","国内不動産投信"
"主要資産","海外不動産投信","海外不動産投信"
"主要資産：地域分類","国内","国内株式"
"主要資産：地域分類","国内","国内債券"
"主要資産：地域分類","国内","国内不動産投信"
"主要資産：地域分類","海外","内外株式"
"主要資産：地域分類","海外","海外株式"
"主要資産：地域分類","海外","海外債券"
"主要資産：地域分類","海外","海外不動産投信"
"主要資産：資産分類","株式","国内株式"
"主要資産：資産分類","株式","内外株式"
"主要資産：資産分類","株式","海外株式"
"主要資産：資産分類","債券","国内債券"
"主要資産：資産分類","債券","海外債券"
"主要資産：資産分類","不動産","国内不動産投信"
"主要資産：資産分類","不動産","海外不動産投信"
"その他","内外資産複合","内外資産複合"
"その他","国内その他資産","国内その他資産"
