"番号","番号","日付","銘柄","保有比率","評価額(円)","評価額前日比(円)","評価額前日比率"
"1","1","2026/07/05","ｅＭＡＸＩＳ　日経半導体株インデックス","0.25","1372","57","0.0433"
"2","2","2026/07/05","ｅＭＡＸＩＳ　Ｓｌｉｍ　国内株式（ＴＯＰＩＸ）","0.1833","1006","12","0.0121"
"3","3","2026/07/05","ＳＭＴ　日本株式モメンタムファンド","0.1685","925","19","0.021"
"4","4","2026/07/05","Ｔｒａｃｅｒｓ　日経平均高配当株５０インデックス（奇数月分配型）","0.141","774","10","0.0131"
"5","5","2026/07/05","ＭＳＶ内外ＥＴＦ資産配分ファンド（Ｇコース）","0.1281","703","-5","-0.0071"
"6","6","2026/07/05","日本好配当リバランスオープン","0.0987","542","5","0.0093"
"7","7","2026/07/05","財産３分法ファンド（不動産・債券・株式）毎月分配型","0.0196","108","0","0"
"8","8","2026/07/05","ｅＭＡＸＩＳ　Ｓｌｉｍ　バランス（８資産均等型）","0.0072","40","0","0"
"9","9","2026/07/05","インベスコ　世界厳選株式オープン＜為替ヘッジなし＞（毎月決算型）","0.003","17","0","0"
